Nama Produk,Nomor Izin Edar,Produsen / Pendaftar,Kandungan BKO
Obat Kuat dan Tahan Lama Dracula Xtra Strong serbuk,TR 003822101,"CV Vito Mega Farma, Jakarta",Sildenafil Sitrat
Sehat Perkasa Goro-Goro serbuk,TR 993294988,PJ Kuda Sumbawa Jakarta - Indonesia,Sildenafil sitrat
Sehat Pria serbuk,TR 063264501,"PJ Herbal Nusantara, Solo",Sildenafil Sitrat
Singha X-Tra Dahsyat Obat Kuat dan Tahan Lama kapsul,TR 053348869,PJ Air Madu Magelang,Sildenafil sitrat
Urat Kuda Ginseng & Sanrego serbuk,TR 006407353,"PJ Kuda Liar, Jakarta",Sildenafil Sitrat
Herbal Plus kapsul,TR 073367411,PJ Herbal Nusantara,"Sildenafil Sitrat, Tadalafil"
Kioe Kiet Ban Eng San,TR 963286731,"PJ Dhoho, Kediri",Sulfametoksazol
Kapsul Asam Urat Uri Cacide,TR 033322511,"PT Hanaka Farmasindo, Jakarta",Antalgin
Chuifong Toukuwar (Sakit Kepala) pil,TL 861415651,PT Nanlien Utama Pharmindo,Asam mefenamat
Raga Prima Cap Payung serbuk,TR 053245591,CV Firdha Prima Surabaya - Indonesia,Deksametason
Tou Gubao kapsul,TI 024406247,Dahetang Medical Co. Ltd. Taiwan,Deksametason
Antoyo Kunci Mas cairan obat dalam,TR 063660351,PJ Kunci Mas Jawa Timur - Indonesia,"Deksametason, Fenilbutason, Parasetamol"
Jamu Rematon Cair Cap Burung Dua Sayap,TR 043635731,"IKOT Itarindo, Kediri",Fenilbutason
Klanceng Putih,TR 063660511,"UD Super Manjur, Banyuwangi - Jatim - Indonesia",Fenilbutason
Berkah Husada Pegal Linu serbuk,TR 002200241,PJ Berkah Rizki Sejahtera Tangerang,"Fenilbutason, Parasetamol"
Ekstrak kapsul Sumber Syariat Cap Kuda Liar,TR 993312551,"PJ Sumber Syariat, Jateng - Indonesia","Fenilbutason, Parasetamol"
Thing Bao Sari Mahkota Dewa kapsul,TR 003257405,PJ Rempah Shing Sae Indonesia,"Fenilbutason, Parasetamol"
Daun Binahong kapsul,TR 026781326,Surya Bintang Lampung,"Fenilbutason, Parasetamol, Piroksikam"
Saplingtan Powder,TI 104242771,Ling Chi Medicine Co. (H.K.) Ltd.,"Kafein, Parasetamol"
Tawon Liar kapsul,TR 093513151,PJ Maju Jaya Bersama Indonesia,"Kafein, Parasetamol"
Urat Kuda kapsul,TR 003407351,PT Kuda Sumbawa,"Kafein, Parasetamol, Sildenafil"
Chang San Beruang kapsul,TR 993203581,"PJ Wang Jaya Link, Jakarta - Indonesia","Kafein, Parasetamol, Sildenafil Sitrat, Tadalafil"
Jak-Ban serbuk,TR 103216168,"PD Jamu Moro Sehat, Jawa Tengah - Indonesia","Kafein, Sildenafil Sitrat"
Urat Dewa kapsul,TR 063313621,"PJ Waluhur, Jateng - Indonesia","Kafein, Sildenafil Sitrat"
Sari Pinang serbuk,TR 003210731,PT Sari Pinang,Natrium Diklofenak
Asmur TOP (Topnya Anti Asam Urat) kapsul,TR 053353061,"PJ Warisan Satu, Purwokerto","Natrium Diklofenak, Parasetamol"
Akar Ginseng serbuk,TR TDP 11082600024,"PJ Yogatama Jateng, Indonesia",Parasetamol
Buah Merah Plus Sea Horse dan Ginseng,TR 034334855,"PT Rajafarma, Jakarta",Parasetamol
Jamu Tradisional Jaya Prima Gemuk Sehat A1,TR 993299351,"PJ Jaya Prima, Jateng - Indonesia",Parasetamol
Jamu Tradisional Wali Songo kapsul,TR 0532448111,"PJ Sami Jaya, Jateng",Parasetamol
Jinten Hitam kapsul,TR 025889129,"Surya Bintang Putra, Lampung - Indonesia",Parasetamol
Kapsul Asam Urat Flu Tulang Cikunguya Cap Suramadu kapsul,TR 043230731,"PJ Suramadu, Indonesia",Parasetamol
Kapsul Istimewa Gemuk Sehat,TR 11082600024,PJ Guna Istimewa,Parasetamol
Pegal Linu dan Asam Urat Herbalin,TR 113369638,"PT Yakin Anugerah Utama, Solo - Indonesia",Parasetamol
Surya Java kapsul,TR 002200761,PJ Surya Java,Parasetamol
Tupai Jantan kapsul,TR 032299554,"PJ Ramuan Shin She, Sintang - Indonesia",Parasetamol
Zam,TR 993727111,PJ Zam,Parasetamol
Dewi Pelangsing,TR 053463843,"PJ Cahaya Mas, Jakarta - Indonesia","Parasetamol, Sibutramin Hidroklorida"
Kopi Rempah Cap Luwak Cobra serbuk,TR 053345423,"PT Iztana Zawiyah, Jakarta - Indonesia","Parasetamol, Sildenafil sitrat"
Obat Kuat Tahan Lama Pusaka Madu Ekstra Strong,TR 003200591,"PJ Ragil Jaya, Tangerang - Indonesia","Parasetamol, Sildenafil sitrat"
Shuyga kapsul,TR 043100615,Mega Raya Indonesia,"Parasetamol, Sildenafil sitrat"
Urat Madu Black kapsul,TR 003221661,"PJ Air Madu, Magelang - Indonesia","Parasetamol, Sildenafil sitrat"
Zinkzhae,TR 053345554,Majelis Spiritual Hikmah,"Prednison, Siproheptadin hidroklorida"
Guar Gum Suplemen Serat Tinggi,-,-,Sibutramin Hidroklorida
Lida Slimming Capsule,TR 062455411,"PT Sinar Maju Makmur, Cianjur",Sibutramin hidroklorida
Africa Black Ant kapsul,TR 883906922,PT Herbal Care Laboratories Jakarta,Sildenafil sitrat
Honeymoon serbuk,SI 210625799,Powerfull Sdn Bhd,Sildenafil sitrat
Jamu Amat Kwat cairan obat dalam,13611663,CV Prima Sakti,Sildenafil sitrat
Jamu Gali-Gali cairan obat dalam,TR 990234234,"CV Kuda Terbang, Madura",Sildenafil sitrat
Long Hwa Tibet Tianxiong 100 mg tablet,-,-,Sildenafil sitrat
Obat Kuat Tahan Lama Gali-Gali Asli kapsul,TR 043129228,"CV Buaya Jantan, Tangerang Indonesia",Sildenafil sitrat
On Man Pembangkit Tenaga Perkasa cairan obat dalam,TR 013611681,"CV Prima Sakti, Indonesia",Sildenafil sitrat
One Night 8 Times kapsul,-,-,Sildenafil sitrat
Viagra X kapsul,TR 013221151,"PJ Duta Perkasa Mandiri, Central Java - Indonesia",Sildenafil sitrat
Ibnu Sina kapsul,TR 053147569,"PJ Ibnu Sina, Jakarta - Indonesia","Sildenafil Sitrat, Tadalafil"
Ramuan Tradisional (Demuk) Gemuk Sehat dan Nafsu Makan kapsul,TR 003211215,"PJ Demuk Sehat, Solo - Indonesia",Siproheptadin Hidroklorida
Performa Epimedium kapsul,TI 114345501,TJ,Tadalafil
Alma Ramping Ayu kapsul,TDP 110852408142,"PJ Gatra Sanjaya, Indonesia",Teofilin
Sesak Nafas Batuk Asma serbuk,TR 003201591,"CV Mahkota Dewa Ferbindo, Jakarta",Teofilin
Cantik Langsing kapsul,TR 053346721,Tazkia Herbal Jatim Indonesia,Bisakodil
Kapsul Istimewa Gemuk Sehat,TR 11082600024,PJ Guna Istimewa Jateng,Deksametason
Zhui Feng Tan pil,TI 074426111,Guangzhou San You Brothers Biotechnology Co. Ltd,Deksametason
Asam Urat Jamur Mas cairan obat dalam,TR 063659731,"PT Gading Oci Purnama Setya, Jawa Timur - Indonesia","Deksametason, Fenilbutason"
Pegal Linu Cap Madu Klanceng cairan obat dalam,TR 063659731,"PT Gading Oci Purnama Setya, Jawa Timur - Indonesia","Deksametason, Fenilbutason"
Ramuan OT Husada Dewa Plus Sirih Merah,TDP 11082600024,"CV Berlian Mega Farma, Jakarta - Indonesia","Deksametason, Parasetamol"
Amuraten cairan obat dalam,TR 033327481,PT Herba International,"Deksametason, Parasetamol, Piroksikam"
Buah Naga Merah kapsul,TR 073370291,"PJ Alam Papua, Jateng",Fenilbutason
Jamu Jawa Dwipa Cap Tawon Klanceng cairan obat dalam,TR 043634361,"UD Putri Kinasih, Banyuwangi - Jawa Timur",Fenilbutason
Jamu Tradisional Asam Urat Cap Madu Klanceng cairan obat dalam,TR 063659731,"UD Telaga Ayu Mandiri, Banyuwangi, Jawa Timur",Fenilbutason
Jamu Tradisional Asam Urat Cap Madu Klanceng cairan obat dalam,TR 063659731,"UD Gading Oci Purnama Setya, Jatim",Fenilbutason
Obat Herbal Pegal Linu dan Asam Urat Madu Twn Klanceng cairan obat dalam,TR 063659731,"UD Sambiroto, Jawa Timur",Fenilbutason
Pegal Linu Lalurat Cap Madu Klanceng cairan obat dalam,TR 063659731,"PT Gading Oci Purnama Setya, Jawa Timur - Indonesia",Fenilbutason
Pegel Linu Mahkota Dewa cairan obat dalam,IKOT NO. P2T 116/03.10/VIII/2010,"CV Prima Sentosa, Jawa Timur - Indonesia",Fenilbutason
Labaik kapsul,688 251 265 007 8,"PT Trisno Cipta Usaha, Cirebon","Fenilbutason, Metampiron, Parasetamol"
Jamu As-Syifa Izza Cikungunya,TR 053 345 531,PT. Izza Mandiri Sukses Jakarta Indonesia,"Fenilbutason, Parasetamol"
Jamu As-Syifa Izza Kecethit,TR 053 345 890,PT. Izza Mandiri Sukses Jakarta Indonesia,"Fenilbutason, Parasetamol"
Jamu Pil Panatik,TR 971134621,PJ Putra Mahakam Kaltim - Indonesia,"Fenilbutason, Parasetamol"
Remasyah serbuk,TR 993298381,"PJ. Remasyah, Jateng","Fenilbutason, Parasetamol"
Rhemalin,TR 003201674,PJ Tri Tanjung,"Kafein, Parasetamol, Piroksikam"
New Anrat Jamu Tradisional Jaya,TR 993 203 841,"PJ. Jaya Asli, Cilacap",Metampiron
"Daun Bidara Jamu Asam Urat, Pegal Linu Plus Sakit Gigi",TR 025466629,"PJ. Mutiara Sehat, Lampung","Natrium Diklofenak, Parasetamol"
Teratai Putih kapsul,TR 043230731,"PJ Teratai Putih, Jateng","Natrium Diklofenak, Parasetamol"
Alfa Salam Batuk Pilek,TR 003203489,PJ. Doa Ibu Jakarta,Parasetamol
Asam Urat Flu Tulang Mahkota Mas kapsul,TR 003203021,"Gold Dragon Herb, Semarang",Parasetamol
Jamu Urat Laga Obat Kuat Tahan Lama,-,Indonesia,Parasetamol
Raga Prima Asam Urat Flu Tulang Pengapuran kapsul,TR 033429702,"PJ. Bayu Saputra Jaya, Tangerang",Parasetamol
Neo Rematik,TR 003766246,"PJ Dita Farmasi, Kudus","Parasetamol, Prednison"
Jamu Encok Asam Urat Akar Dewa Rasa Pahit dan Rasa Manis,TR 043 634 331,UD. Citra Alam,Piroksikam
Pegal Linu Asam Urat Akar Dewa,TR 043 634 311,UD. Citra Alam,Piroksikam
Pegal Linu Cap Kuda Laut,TR 113 628 211,UD. Citra Alam,Piroksikam
ABC Acai Berry kapsul lunak,-,M.G.L (HK),Sibutramin Hidroklorida
Acai Berry kapsul lunak,-,,Sibutramin Hidroklorida
Obat Kuat dan Tahan Lama Sarang Madu,TR 082572693,"PJ. Multi Sari Manjur, Jakarta",Sildenafil Sitrat
Hwang Di Dong Chong Xia Cao kapsul,TI 064320081,,"Sildenafil sitrat, Tadalafil, Vardenafil hidroklorida"
Gemuk Sehat Nafsu Makan Akar Dewa,TR 063 659 371,UD. Citra Alam,Siproheptadin Hidroklorida
Penyehat Badan Cap Kuda Laut,TR 013611111,CV. Kuda Laut Banyuwangi,Siproheptadin Hidroklorida
Kupu-Kupu Malam serbuk,TR 001508741,"PT. SM Jaya, Jateng",Tadalafil
Men Li kapsul,TR 093 308 161,CV. Mega Maju Mekar,Tadalafil
Jamu As-Syifa Tumpas Plus Habbatussauda,TR 053 345 734,PT. Izza Mandiri Sukses Jakarta Indonesia,Teofilin
Pil Ramuan Shin She Merah Delima,66754317,PJ Mustika Alam Banten - Indonesia,"Asam Mefenamat, Natrium Diklofenak, Parasetamol,"
Pegel Linu Asam Urat Akar Dewa serbuk,TR 033218101,"UD Citra Alam, Jatim","Asam Mefenamat, Piroksikam"
Pegal Linu Prono Jiwo cairan obat dalam,TR 053651401,"UD Prono Jiwo, Banyuwangi",Fenilbutason
Asam Urat Nyeri Tulang Cap Gunung Krakatau serbuk,TR 993200421,"Citra Herbindo Utama, Jakarta","Fenilbutason, Parasetamol"
Buah Naga kapsul,TR 003228621,Lebah Makasar,"Fenilbutason, Parasetamol"
MD dan SM Obat Asam Urat Nyeri Tulang/Sendi Cicunguya kapsul,TR 993201183,PJ. Ramuan Dayak,"Fenilbutason, Parasetamol"
Tangkur Cobra Laut kapsul,TR 993728001,PJ. Bima Perkasa,"Natrium Diklofenak, Sildenafil Sitrat"
Dewa Dewi kapsul,TR 993299761,"PJ. Kurnia, Jateng",Parasetamol
Kapsul Telat Bulan (Tiauw Keng Poo Sae),TDP 11072600063,"Tabib Jaya Sakti, Jawa Tengah",Parasetamol
Lebah Mutiara Asam Urat kapsul,TR 043274672,Perusahaan Jamu Tradisional Solo,Parasetamol
Lebah Mutiara Gatal-Gatal kapsul,TR 943274672,Perusahaan Jamu Tradisional Solo,Parasetamol
Pil Anti Sakit Gigi Plus Pak Tani tablet,TR 003503787,Sari Tani Jateng,Parasetamol
Scorpion kapsul,TR 202568336,"PJ. Sinar Makmur, Madura",Parasetamol
Tiger Fit Asam Urat Flu Tulang kapsul,TR 048473777,Akar Tiongkok Indonesia,Parasetamol
Obat Kuat dan Tahan Lama Super X kapsul,TR 053347131,PJ. Husodo Jaya,"Parasetamol, Sildenafil sitrat"
Linu Rat kapsul,TR 003202171,PJ. Sido Mekar,Piroksikam
Kuat Tahan Lama Surabaya Madura serbuk,TR 001508741,PJ. Racikan Madura,Sildenafil sitrat
Obat Kuat dan Tahan Lama Powerman kapsul,TR 893518902,"Indo Alam Perkasa, Denpasar",Sildenafil sitrat
Power Up kapsul,-,Tibet Sheng Yang Bioengineering Co. Ltd.,Sildenafil sitrat
Prima Setia kapsul,403.10.16.2001,"CV. Manshuba Indo Herba, Jakarta",Sildenafil sitrat
Spider kapsul,TR 9935758412,"PJ. Sinar Makmur, Madura",Sildenafil sitrat
Poten-Zhi kapsul,TR 042337421,"PT. Daxen Indonesia, Bogor",Tadalafil
Jamu Cap Putri Sakti Penyehat Badan (Penggemuk Badan) cairan obat dalam,TR 013611911,"CV Putri Sakti Husada, Jawa Timur",Fenilbutason
Jamu Tradisional Jawa Asli Cap Putri Sakti cairan obat dalam,TR 103609311,"CV Putri Sakti Husada, Jawa Timur",Fenilbutason
Asam Urat + Flu Tulang Ramuan Mahkota Dewa kapsul,TR 043232991,"KOPJA Aneka Sari Unit III, Gunung Sugih, Cilacap","Fenilbutason, Parasetamol"
Buah Delima Darah Tinggi kapsul,TR. 003200351,"PJ. Amrih Sehat, Cilacap","Fenilbutason, Parasetamol"
Pegal Linu Rheumatik Asam Urat Untuk Pria dan Wanita Kuat Sentosa serbuk,TR 003201201,"PJ. Gaya Baru, Cilacap","Fenilbutason, Parasetamol"
Wei Yi Xin Kapsul,TI. 054318261,Jiangsu Haihong Pharmaceutical Co Ltd. China,Glibenklamid
Flu Tulang serbuk,TR. 003201889,"PJ. Tri Tunggal, Kroya, Cilacap",Metampiron
Tenaga Sehat Pegal Linu serbuk,TR 993205671,"PJ. Tenaga Sehat, Cilacap",Metampiron
Serbuk Brastomolo,TR.003200521,"PJ. Sari Manjur, Cilacap",Natrium Diklofenak
Godong Ijo kapsul,TR 053348245,"PJ. Air Madu, Magelang","Natrium Diklofenak, Parasetamol"
Pegal Linu dan Asam Urat Montalin kapsul,TR 053348358,"PJ. Air Madu, Magelang","Natrium Diklofenak, Parasetamol"
5X Lebih Dahsyat Obat Kuat dan Tahan Lama tablet,-,PJ. Singa Laut,Parasetamol
Akar Jawa China kapsul,TR 993203391,"PJ. Bintang Genta Buana, Jateng",Parasetamol
Asam Urat Flu Tulang Super kapsul,TR.993201183,"PJ. Ramuan Makassar, Cilacap",Parasetamol
Asam Urat Flu Tulang Super tablet,TR.993201183,"PJ. Ramuan Makassar, Cilacap",Parasetamol
Asam Urat Kaler Untuk Pria dan Wanita serbuk,TR 063256361,"PJ. Berkah Jaya, Cilacap",Parasetamol
Buah Delima kapsul,TR. 003200351,"PJ. Amrih Sehat, Cilacap",Parasetamol
Buah Merah Khusus Pria dan Wanita kapsul,TR 993298401,(tidak tercantum),Parasetamol
Chang San serbuk,TI. 053147558,"PJ. Akar Mujarab, Cilacap",Parasetamol
Gemuk Segar Eka Jaya No. 1 serbuk,TR 003202021,"PJ. Satu Jaya, Kopja Aneka Sari, Cilacap",Parasetamol
Gemuk Sehat kapsul,TR 993299801,PJ. Pusaka Kraton Jawa,Parasetamol
Gemuk Sehat Pusaka Raga serbuk,TR 993299721,"PJ. Bani Sahad, Cilacap",Parasetamol
Gemuk Sehat Untuk Pria dan Wanita Jati Sehat,TR.003201301,"PJ. Salira Jaya, Cilacap",Parasetamol
Linzhe Ba Zi Hu Zin Lin tablet,-,"New Ving Hong Enterprise, Perak, Malaysia",Parasetamol
Morinda Extra Ginseng kapsul,-,PJ. Rizki Sukses Abadi,Parasetamol
Multi Guna Kaler Untuk Pria dan Wanita serbuk,TR 063256441,"PJ. Berkah Jaya, Cilacap",Parasetamol
Pakar Jaya Asam Urat Si Tangkur serbuk,TR. 04322961,"PJ. Pakar Jaya, Cilacap",Parasetamol
Pegal Linu Eka Jaya No. 2 serbuk,TR 003201891,"PJ. Satu Jaya, Kopja Aneka Sari, Cilacap",Parasetamol
Puji Sehat Gemuk Sehat serbuk,TR. 004307121,"PJ. Puji Sehat, Cilacap",Parasetamol
Samurat Extra Untuk Pria dan Wanita serbuk,TR 053244441,"PJ. Serbat Mujarab, Cilacap",Parasetamol
Top Jaya Sakti kapsul,TR. 003200351,"PJ. Amrih Sehat, Cilacap",Parasetamol
Walet Mas serbuk,TR. 03201611,"PJ. Sekar Arum, Cilacap",Parasetamol
Yin Chiao tablet,TL 022500161,"PT. Herba Aneka Semesta, Tangerang",Parasetamol
Kammasutera serbuk,TR 002301821,"PJ. Sari India, Jakarta",Sildenafil Sitrat
Kuat Jantan Obat Kuat dan Tahan Lama kapsul,TR 043374561,PJ. Benua Mas,Sildenafil Sitrat
New Happy Strong kapsul,-,(tidak tercantum),Sildenafil Sitrat
On-Top kapsul,-,"Putra Jaya Melaka, Malaysia",Sildenafil Sitrat
Pae Obat Kuat dan Tahan Lama kapsul,TR 003233252,PJ. Tujuh Empat,Sildenafil Sitrat
Power Sex kapsul,DOO 20073684521433,PJ. Kuat Sentosa,Sildenafil Sitrat
Torpedo serbuk,TR 983295251,PJ. Segurah,Sildenafil Sitrat
Yunang kapsul,TR 993298384,"PJ. Air Madu, Magelang",Sildenafil Sitrat
Obat Kuat Tongkat Mesir serbuk,TR 053426391,PJ. Bintang Pasir,Tadalafil
Keteling Jiaonang,TI 034305831,Produsen tidak jelas (tulisan kanji),CTM
Obat Gatal-Gatal (Eksim) Brantas kapsul,TR.993205601,"PJ. Ampuh Jaya, Cilacap",CTM
Asam Urat Nyeri Tulang Pengapuran kapsul,TR 073037291,"PJ. Alam Papua, Cilacap",Fenilbutason
Gajah Kuat tablet,TR 033226181,PJ. Pasific Trafic,Fenilbutason
Pegal Linu Sari Widoro COD,TR 043634361,"IKOT Putri Kinasih, Banyuwangi",Fenilbutason
Sukma Perkasa Asam Urat serbuk,TR 053248601,"PJ. Akar Perkasa,Cilacap",Fenilbutason
"Brantas, Obat Asam Urat Rheumatik, Nyeri Tulang Kapsul",TR.993205591,"PJ. Ampuh Jaya, Cilacap","Fenilbutason, Parasetamol"
"Buah Naga, Asam Urat dan Nyeri Tulang Kapsul",TR.043230711,"PJ. Dua Walet, Kopja Aneka Sari, Cilacap","Fenilbutason, Parasetamol"
Dua Walet Amrat Serbuk,TR.043230711,"PJ. Dua Walet, Cilacap","Fenilbutason, Parasetamol"
Kembang Wijaya Serbuk,TR.033226251,"PJ. Fisabillah, Cilacap",Metampiron
Zhong Gan Ling Pian Tablet,TI. 041502671,Heping Pharmaceutical Factory Guangdong China,Metampiron
Zhongganling Pian Tablet,TI. 064520261,Guangdong Jiaying Pharm Co. Ltd,Metampiron
Akar Dewi Putri Multi Khasiat Serbuk,TR. 063258701,CV. Laser Group,Parasetamol
Asam Urat Akar Dewi Putri Serbuk,-,"UD. Lazer Group, Lamongan",Parasetamol
Asam Urat Nyeri Tulang Tjap Dua Daun Serbuk,-,"PJ. Brotowali, Solo",Parasetamol
Asam Urat Rheumatik Akar Sirih Serbuk,TR.993200421,"PJ. Inti Sehat, Jateng",Parasetamol
"Asam Urat, Flu Tulang & Pengapuran Buah Merah Serbuk",TR.993728001,"PJ. Buah Alam Papua, Purwokerto",Parasetamol
Darah Tinggi Serbuk,TR.003201871,"CV. Sinar Mujarab, Jateng",Parasetamol
Gatal Eksim Serbuk,TDP.11082600024,"PJ. Sinar Mujarab, Jateng",Parasetamol
Gemuk Sehat PJS Serbuk,TR.993299571,"PJ. Pusaka Jaya Sakti, Cilacap",Parasetamol
Gemuk Sehat SP Serbuk,TR.993299801,"PJ. Sehat Perkasa, Cilacap",Parasetamol
Gemuk Sehat/Ideal Tirta Sehat Serbuk,TR.003202401,"PJ. Tetap Sehat, Cilacap",Parasetamol
Kencing Manis Serbuk,TR.003202342,"PJ. Tetap Sehat, Cilacap",Parasetamol
Kuat Sehat Cap Kuda Liar Serbuk,-,RCK - Jabar,Parasetamol
New Singa Majapahit Serbuk,TR.032490233,PD. Lestari Wiji Dadi,Parasetamol
Pasti Joss Tablet,TR.033227892,"PJ. Mega Raya, Jawa Tengah",Parasetamol
Ramuan Tradisional Sarang Semut plus Sirih Merah Tablet,TR.005201521,"PJ. Cespleng Jaya, Jateng",Parasetamol
Randa Linu (Asam Urat) Serbuk,TR. 043232991,"Kopja Aneka Sari Unit III /PJ. Gunung Sugih, Cilacap",Parasetamol
Samurat Extra Serbuk,TR.053244441,"PJ. Serbat Mustajab, Jateng",Parasetamol
Sehat Boyok Sakit Pinggang Serbuk,TR.063259191,"CV. Sinar Mujarab, Mojokerto",Parasetamol
Sekalor Serbuk,TDP.131935200129,"CV. Sinar Mujarab, Jatim",Parasetamol
Tangkur Buaya Super Kapsul,TR.003201101,"PD. Meringis Sehat, Jateng",Parasetamol
Temu Ginseng Plus Buah Merah Kapsul,TR.003234257,"PJ. Sumber Utama Ginseng, Indonesia",Parasetamol
Turrat Serbuk,TR. 063259201,"IJ. Sinar Mujarab, Mojokerto",Parasetamol
Untabat (Batuk Pilek) Serbuk,310/IKOT/JATIM/IV/06,"CV. Sinar Mujarab, Mojokerto",Parasetamol
Wan Tong Pegal Linu Kapsul,TR. 073375011,"PJ. Herbalindo SM, Indonesia",Parasetamol
Wan Tong Pegal Linu Rheumatik Asam Urat Serbuk,TR. 083275091,"PJ. Herbalindo SM, Indonesia",Parasetamol
Yin Chiao Tablet,TI. 024504951,Cengde Trad. Chinese Medicine Factory,Parasetamol
Lasmi Kapsul,TR. 073372981,"PJ. Herbalindo SM, Indonesia",Sibutramin Hidroklorida
Li Da Dai Dai Hua Jiao Kapsul,-,Kunming Dali Industry & Trade Co. Ltd,Sibutramin Hidroklorida
New Pro Slim Kapsul,TI.054607286,The Third Pharm Manufactory Harbin China,Sibutramin Hidroklorida
Qianjiali Kapsul Pelangsing,TI. 064 322 841,Beijing Medi - Tech Development Co.Ltd.,Sibutramin Hidroklorida
Sera Kapsul,TR. 073372971,"PJ. Herbalindo SM, Indonesia",Sibutramin Hidroklorida
Sulami Kapsul,TR. 073372961,"PJ. Herbalindo SM, Indonesia",Sibutramin Hidroklorida
King Cobra 10x lebih kuat Serbuk,TR.003202234,"PJ. Cobra Ayu, Makassar",Sildenafil Sitrat
Sahe Hiki Kapsul,TR. 063363311,"PT. Sumber Waras Perkasa, Cianjur",Sildenafil Sitrat
Suwe - Xi kapsul,TR.073370291,"PJ. Kaki Langit, Jateng",Sildenafil Sitrat
Tang Pe Fu Serbuk,TI.054236403,"PJ. Alami Makassar, Indonesia",Sildenafil Sitrat
New Idola Kapsul,SD. 031305761,"PT. Pyridam Farma, Cianjur",Tadalafil
Ratax Kapsul,SD. 051324011,"PT. Pyridam Farma, Cianjur",Tadalafil
World Quick-Strong Kapsul,-,World (Tianjin) Nutrition & Health Food Co.Ltd,Tadalafil
Dewi Bulan Capsul Sakit Gigi & Sakit Kepala Cekot-cekot Kapsul,TR.033319202,"PJ. Songgo Geni, Tangerang","Asam Mefenamat, Parasetamol"
Arum Jaya Gemuk Sehat Serbuk,-,"PJ. Arum Jaya, Cilacap",Deksametason
Ramuan Tradisional Remagel Serbuk,TR.053249557,"PJ. Kasturi Dewi, Jateng","Deksametason, Parasetamol"
Asam Urat cap Unta Kapsul,TR.043230731,"PJ. Unta Mas, Indonesia",Fenilbutason
Daun Dewa Kapsul,TR.993200178,PJ. Daun Dewa Makassar,Fenilbutason
Jaya Asli Anrat Serbuk,TR. 053 248 511,"PJ. Jaya Asli, Cilacap",Fenilbutason
Pamong Raga Pegel Linu Serbuk,TR. 003200311,IKOT Kopja Aneka Sari Unit I Cilacap,Fenilbutason
Pegal Linu Cap Putri Sakti Cairan Obat Dalam,TR. 013611911,"H. Moh. Khusni, Banyuwangi",Fenilbutason
Pegal Linu Kalimajaya Serbuk,TR. 003202501,"Drs. H. Moh. Nur Hidayat, Kopja Aneka Sari Unit IX Sifaul Mustajab Cilacap",Fenilbutason
Pegalinu No. 2 Serbuk,TR. 993299521,"PJ. Cipta Rasa, Indonesia",Fenilbutason
Purwoceng Serbuk,TR.993203019,PJ. Sido Waras,Fenilbutason
Salurat Putri Sakti Cairan Obat Dalam,TR. 063660241,"H. Moh. Khusni, Banyuwangi",Fenilbutason
Sari Buana Serbuk,TR. 003201971,"Kopja Aneka Sari Unit VII, Cilacap",Fenilbutason
Sirnakit Serbuk,-,"PJ. Candi Wulan, Banyumas",Fenilbutason
Walet Kembar Asam Urat Serbuk,TR.993205601,"PJ. Kunci Sehat, Cilacap",Fenilbutason
Pegal Linu + Asam Urat Cap Burung Glatik,-,"PD. Sinar Glatik, Jateng","Fenilbutason, Metampiron"
"Asam Urat - Flu Tulang cap Onta Mas, kapsul",-,"PJ. Serambi Super, Cilacap","Fenilbutason, Parasetamol"
"Asam Urat Pegal Linu Cikungunya, Tablet",-,"PJ. Lestari Alam, Jateng","Fenilbutason, Parasetamol"
"Asam Urat Pegal Linu, serbuk",-,PJ. Kumbang Mas,"Fenilbutason, Parasetamol"
"Dewa Ampuh, serbuk",-,"PJ. Pakar Lawang, Cilacap","Fenilbutason, Parasetamol"
"Fong Se Wan, kapsul",-,China,"Fenilbutason, Parasetamol"
"Purba Sentosa Pegal Linu/Rheumatik, serbuk",-,"PJ. Purba Sentosa, Cilacap","Fenilbutason, Parasetamol"
"Asam Urat (Flu Tulang) Akar Sewu, serbuk",-,"PJ. Awujos, Banyumas",Metampiron
"Jaka Suna Gemuk Sehat, serbuk",-,"PJ. Jaka Suna, Cilacap",Metampiron
"Kharisma Sehat Pria dan Wanita, serbuk",-,"PJ. Kharisma, Cilacap",Metampiron
Serbuk Dewa,-,"PJ. Putra Sanjoyo Perkasa, Banyumas",Metampiron
"Sumber Urip Pegal Linu, serbuk",-,"PJ. Sumber Urip, Cilacap",Metampiron
"26 Sakit Pinggang, kapsul",-,"PT. Hari Fatma, Jakarta",Parasetamol
"Akar Sakti Asam Urat Flu Tulang Stroke, Tablet",-,"PJ. Putra Bayutama Sakti, Jateng",Parasetamol
"Asam Urat Flu Tulang Cap Onta, Kapsul",-,"PJ. Serambi Super, Cilacap",Parasetamol
"Asam Urat Flu Tulang Kharisma Sehat, Serbuk",-,"PJ. Kuda Laut, Jateng",Parasetamol
"Cap Sarang Walet, serbuk",-,"PJ. Langgeng Lawet, Cilacap",Parasetamol
"Dua Putri Bayan (Asam Urat), kapsul",-,"PJ. Sehat Mujarab, Cilacap",Parasetamol
"Flu Tulang Pegal Linu Puspita Surya, serbuk",-,"Kopja Aneka Sari, Cilacap",Parasetamol
"Ramuan Cina, Kapsul",-,"PJ. Ramuan Cina, Cilacap",Parasetamol
